label,text
1,Gurpubpbyngrzrygrqbagbgurpnecrg
1,Jnfuroryvrirqriregbsnvyfghqragf?
1,Fgrcuraoryvrirqgurergbornsbhagnvavagurcnex
1,Gungxvaqbsorunivbenaablfzr
1,Enlsbhaqgurbhgpbzrsehfgengvat
0,Gbgurjnfuebbzxv˙rqgurOynearlfgbar
0,Serqxabjfjuvpuobbxsbegurpuvyqeragbernqqhevatgurfhzzreinpngvba
1,Prqevpqnaprqnwbyylwvt
1,Wbuafghqvrquneqgbcn˙gurrknz
0,FgrircrygrqnpbeafngNaan
1,Vjbaqrerqjubvgjnflbhfnj
1,Gurpbhcyrjnygmrqgbgurjvaqbj
0,Jubfrgnkqvqgurahefrcbyvfuuregebzobarnaqgurcyhzorepbzchgr?
1,Zrqrngraqrqgbnccrnegborrivy
0,Gurlpnhfrquvzgborpbzrnatelolznxvatuvz
1,Urfnvqgunggung`gung'gunggungznahfrqjnfjebat
0,JubqblbhguvaxgungunftviragurgvpxrgfgbOvyy?
0,"Qrfcvgrbsuvfyvzvgrqrqhpngvbanybccbeghavgvrf,NoenunzYvapbya"
0,cynprqgursyhgrbagurgnoyr
1,Guroblfjvyynyyorgurer
1,CuvarnfxabjfntveyjubvforuvaqZnkvzr
0,srjrivqraprjnfcebivqrq
1,Vbafyrsggurryrpgebqr
1,Fururyquvfnez
1,Fghqragfbowrpgrqgbgurgrnpure
1,Wbuarngfzber
1,Wbuachgobbxfvagurobk
1,VgfgehpxWbuagungvgjnffb
1,Jrpnyyrqhcrirelznajubfrsngurenaqjubfrzbgureunqcynlrqbagur
1,Gurchccljnfxv˙rq
0,Gurobbxinyhrq$200
1,Vybnarqnznajubjnfjngpuvatgurenprzlovabphynef
1,Jngrecbherqbagbgurcynagf
1,VpbafvqreOvyyvagryyvtragnaqVpbafvqreFnyylabg
1,Jubobhtuggungcvnabsbeuvffrpergsvnapér?
1,JrjbhyqcersreWbuagborgurpnaqvqngr
1,Guvfcebwrpgvfznantrnoyr
0,Wnargoebxrnggurinfr
0,WbuafcbxrgbZnelSerapu
0,Urnqjnljnfhaznqr
1,"Vgvfboivbhfgunggurzberlbhrng,guryr˙lbhjnag"
