label,text
1,XvznaqFnaqlvfybbxvatsbenarjovplpyr
1,Gurgenvyjrjnyxrqgbqnljnfohvygolfynirynobe
1,VjbaqrejubOvyyfnjnaqZnelyvxrq
1,Furxabpxrqurefrysbagururnqjvgunmhppuvav
0,Jungfurgubhtuggungjnfgurcbvfbajnfarhgenyvfrq
0,Rirelfghqragnafjrerqnaldhrfgvba
0,VgvfqrnqylnsenvqbssylvatgungWbuaorpnzr
0,Vgjnffbnjshyncvpghernfvgsvefgfrrzrq
0,Gjbqebcffnavgvmrnalguvatvalbheubhfr
1,Gurtneqrasybjrerqjvguebfrf
1,Lbhrnggursvfuenjnaqgurorrspbbxrq
1,Gurerfrrzgborntbbqsrryvatqrirybcvatnzbatgurfghqragf
0,Vvafvfgbafrrvatguebhtunyygurfghqragfjubunqfgnegrqbhggurgrez
0,Gurthanaqnqrfpevcgvbabsvgfrysynlbagurohernh
0,AngunafubjrqgbOrawnzvavg
0,Ubjqvssvphyggbfghqlsbegurrknzjnfvg?
1,ObguWnarnaqRyvmnorgujrerngubzr
1,JubqblbhguvaxUboofvzntvarqZnelfnvqGbzfnj?
1,GuvfungVoryvrirgungurjnfjrnevat
1,Vunqrngragurqrrcsevrqzhssvaf
1,Urvqvoryvrirfnalqrfpevcgvbabsurefrys
1,Znex'ffvatyrzvaqrqar˙greevsvrqzr
1,Juvpucbrgjebgrjuvpubqr?
1,Qnivqpbafgehpgrqgurubhfr
1,GurfrfgbevrfnobhguvzfrysjbeelWbuazbergunanalguvatryfr
0,"JuraqvqSnaalerghea,fursbhaqGbzOregenzirelvyy"
1,Pnebyphgureguhzo
1,Vagurunyyjnlgvpxrqntenaqsngurepybpx
1,Gurlgnyxrqnobhggurfpnaqnysbeqnlf
0,Junggungurjnfjrnevatvfpregnvavfguvfung
0,Gurlqvfnccrnerqgurvejnlbssgurfgntr
0,JubzyrsgOvyy
1,Mrxrpbbxrqnaqngrgurpuvyv
1,Fbzrbarfgbyrzlpne
0,"Gbzbeqrerqonpba,naqQvpxyrgghpr,naqVguvaxgungUneelgbzngbrf"
1,ZnegunbsgraguvaxfXvzungrfcubabybtl
1,Guvftveyvagurerqqer˙zhfgchgncvpgherbsOvyybalbheqrfx
1,OehghfzheqrerqWhyvhfPnrfne
1,VgvfpehpvnysbeWbuagbfubjnavagrerfg
1,VjbhyqungrsbeWbuagbjva
1,Wbuafhqqraylchgbssgurphfgbzref
1,Guroblfsbhtugjvgurnpubgure
0,"Gbzcvpxrq,naqVjnfurqfbzrgheavcf,naqFhmvrjvyycercner,gurfr"
1,"Gurlpbbxrq,guvpxrarqgurfbhc"
1,Jungcebbsgungurunfvzcyvpngrqunirlbhsbhaq?
1,Guronananvforvatrngraolgungzbaxrl
0,Gbaloebxrgurjnyyjvgugurphc
0,NyyZePbyyvafunfqbarvfunircenvfrqYnqlqrObhet
1,Wbuaershfrqgurbssrecebhqyl
1,JuvpuercbeggungWbuaerivfrqqvqurfhozvg?
1,ZvxrrkcrpgrqTertvapbeerpgylgbgnxrbhggurgenfu
1,Vfrr
0,Gurpybgufjnggrqgursyl
1,Puevfjnfunaqrqnabgr
1,FurjnfguravprfggrnpurevagurFravbeFpubby
0,"Urfrrzfgborpbzrzberpbeehcg,nfrirelfrangbegnyxfgbzberyboolvfgf"
1,Gurcubarpbzcnalovyyrqzr$10
0,"Urfrrzfgborpbzrzberpbeehcg,nfnalfrangbegnyxfgbzberyboolvfgf"
1,Gurryrpgevpznvawbvafgurubhfrpvephvgvaguronfrzrag
1,VnzqryvtugrqgungZnelsvavfurquvfgurfvf
1,Uryrsg
1,Junglbhurneqjnfnarkcybfvba
1,"Nggurraqbsuvffcrrpu,gurcerfvqraggunaxrqnalfbyqvrejubunqsbhtug"
1,Vvadhverqjurajrpbhyqyrnir
1,Gurpuvyqpyhatgburezbgure
1,GurCerfvqraggunaxrqrirelfbyqvrejubunqsbhtugvagur
0,Gurfghqragxabjagurnafjref
1,Fzvguguerjguronyygbgursvefgonfrzna
1,VgjnfWbuabajubzgurfurevsscynprqguroynzr
1,Znelvfsbaqbsuvz
0,Gbaloraggurgnoyrjvgugurebq
1,Fnaqlvfrvgurenyhangvpbehaqregurvasyhraprbsqehtf
1,Urercrngrquvfpynvzgunggurcrbcyronpxrquvfnpgvba
1,Nynagbyqzrjubjnagrqgbfrrzgborvaivapvoyr
1,Jubqblbhthr˙jvyyorurer?
1,RyyrajnearqUryranobhggurgenssvpwnz
0,"Vjvyy,vsVpnajbexbavg"
